//경험치 스크립트_Kr				
//최종작성자 	정동일			
//수정일자	오후 1:42 2008-07-01			
//Version	1.0.0.6			
	bLv	dExpValue	FieldEnd	
	1	0 		
	2	45 		
	3	120 		
	4	258 		
	5	466 		
	6	804 		
	7	1308 		
	8	2100 		
	9	3269 		
	10	5075 		
	11	7539 		
	12	11177 		
	13	16280 		
	14	23154 		
	15	33043 		
	16	46722 		
	17	66126 		
	18	93446 		
	19	131687 		
	20	180033 		
	21	235069 		
	22	297339 		
	23	367268 		
	24	445311 		
	25	531857 		
	26	626137 		
	27	728227 		
	28	838138 		
	29	954190 		
	30	1075890 		
	31	1202613 		
	32	1349696 		
	33	1518444 		
	34	1710268 		
	35	1926631 		
	36	2168984 		
	37	2438874 		
	38	2737807 		
	39	3067430 		
	40	3429404 		
	41	3825407 		
	42	4257203 		
	43	4726515 		
	44	5235222 		
	45	5785120 		
	46	6378158 		
	47	7016277 		
	48	7701547 		
	49	8435945 		
	50	9221497 		
	51	10060378 		
	52	10954757 		
	53	11906910 		
	54	12919001 		
	55	13993426 		
	56	15132394 		
	57	16338442 		
	58	17613848 		
	59	18961101 		
	60	20382784 		
	61	21881462 		
	62	23459648 		
	63	25120116 		
	64	26865434 		
	65	28698485 		
	66	30621809 		
	67	32638437 		
	68	34751158 		
	69	36962884 		
	70	39276382 		
	71	41694896 		
	72	44221338 		
	73	46858858 		
	74	49610473 		
	75	52479394 		
	76	55468807 		
	77	58582031 		
	78	61822194 		
	79	65192904 		
	80	68697232 		
	81	72338750 		
	82	76121011 		
	83	80047369 		
	84	84121456 		
	85	88346929 		
	86	92727323 		
	87	97266305 		
	88	101967503 		
	89	106834840 		
	90	111820954 		
	91	117042068 		
	92	122686183 		
	93	129066317 		
	94	136682965 		
	95	146302765 		
	96	159047482 		
	97	176479575 		
	98	200661489 		
	99	234158156 		
	100	279950298 		
	101	327541849 		//0813버전_Open
	102	383223963 		
	103	448372037 		
	104	524595283 		
	105	613776481 		
	106	718118483 		
	107	840198625 		
	108	983032391 		
	109	1150147897 		
	110	1345673040 		
	111	1574437457 		
	112	1842091824 		
	113	2155247435 		
	114	2521639499 		
	115	2950318213 		
	116	3451872310 		
	117	4038690602 		
	118	4725268004 		
	119	5528563565 		
	120	6468419371 		
	121	7568050664 		
	122	8854619277 		
	123	10359904555 		
	124	12121088329 		
	125	14181673345 		
	126	16592557813 		
	127	19413292642 		
	128	22713552391 		
	129	26574856297 		
	130	31092581868 		
	131	35756469148 		//1005버전오픈_131~135구간
	132	41119939520 		
	133	47082330750 		
	134	53909268709 		
	135	61456566328 		
	136	69753202783 		//1101버전오픈_136~150구간
	137	79169885158 		
	138	89857819655 		
	139	101988625308 		
	140	115247146598 		
	141	129653039923 		
	142	145211404714 		
	143	162636773280 		
	144	182153186073 		
	145	204011568402 		
	146	228492956610 		
	147	255912111403 		
	148	286621564772 		
	149	321016152544 		
	150	359538090850 		
	151	420659566294 		//1201버전오픈_151~155구간
	152	492171692564 		
	153	575840880300 		
	154	673733829951 		
	155	788268581043 		
	156	906508868199 		//1203버전오픈_156~160
	157	1042485198429 		
	158	1198857978194 		
	159	1378686674923 		
	160	1585489676161 		
	161	1823313127585 		
	162	2096810096723 		
	163	2411331611232 		
	164	2773031352916 		
	165	3188986055854 		//1303버전 최고레벨 165 상향
	166	3507884661439 		
	167	3858673127583 		
	168	4244540440342 		
	169	4668994484376 		
	170	5135893932813 		//1403버전 최고레벨 170 상향(증가배수 0.15에서 0.1로 소폭 하향)
	171	5649483326095 		
	172	6214431658704 		
	173	6835874824574 		
	174	7519462307032 		
	175	8271408537735 		
	176	9098549391509 		
	177	10008404330659 		
