//	이벤트 스크립트_한국																												1~50레벨 초보유저 버프																			
//	Version	1.0.0.5																											일반 ; 이속 10% / 공속 10% / HP증가 +200 / 스텟(정신력) +15 [지속시간 : 30분]																			
//	최초작업자 : 채현준																												가맹정 : 이속 15% / 공속 15% / HP증가 +300 / 스텟(정신력) + 30 [지속시간 : 60분]																			
//	최종작업자 : 정동일																																															
//	최종수정일	오후 3:15 2008-07-02																																														
//	1.4																																															
//		15. 아인 19.구세군 20. 뱃지맨 21.산타영감 22.수정기둥																																														
//1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111	파라미터 적용 버전	812	810					810		812		810										810		810			810				810			905	813			905	812	812								
//	인덱스	NPC선택	기본이벤트 설정용					이벤트 요일 설정	최대 등록 수	적용 레벨 설정		아이템등록이벤트(필요 조건)										경험치/버프 이벤트 시간설정		제조이벤트	인첸트이벤트	분해이벤트	경험치증가률보상	캐릭터생성경험치증가률	하임증가률보상	아이템드랍률보상	일반 보상아이템관련				PC방 보상아이템관련				구세군보상코드	삭제기능	삭제코드							
	Index	NPC	EventMode	StartDate	StartTime	EndDate	EndTime	EventDayFlag	CountMax	ApplyToMinLv	ApplyToMaxLv	RegisterItem1	RegisterItemNum1	RegisterItem2	RegisterItemNum2	RegisterItem3	RegisterItemNum3	RegisterItem4	RegisterItemNum4	RegisterItem5	RegisterItemNum5	PeakTimeSet	PeakTimeEnd	ItemCraftIndex	ItemEnchantIndex	ItemDecompoIndex	RewardExpRate	CharCreateExpRate	RewardHimeRate	RewardItemDropRate	NormalReward1Index1	NormalReward1Index2	NormalReward1Index3	NormalReward1Index4	NormalReward2Index1	NormalReward2Index2	NormalReward2Index3	NormalReward2Index4	EventReward	Delete	ItemCode1	ItemCode2	ItemCode3	ItemCode4	ItemCode5	FieldEnd		
	1	15	2	20060529	1630	20060628	2400	0	1	1	100	6573	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		//	아아템등록
	2	15	2	20060529	1630	20060628	2400	0	3	1	100	6574	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		//	아아템등록
	3	15	2	20060529	1630	20060628	2400	0	5	1	100	6575	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		//	아아템등록
	4	15	2	20060529	1630	20060628	2400	0	7	1	100	6576	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		//	아아템등록
	5	15	2	20060529	1630	20060628	2400	0	10	1	100	6577	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		//	아아템등록
	6	15	3	20060529	1630	20060628	2400	0	0	1	100	6573	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3001	0	0	0	3001	0	0	0	0	0	0	0	0	0	0		//	랜덤보상
	7	15	3	20060529	1630	20060628	2400	0	0	1	100	6574	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3002	0	0	0	3002	0	0	0	0	0	0	0	0	0	0		//	랜덤보상
	8	15	3	20060529	1630	20060628	2400	0	0	1	100	6575	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3003	0	0	0	3003	0	0	0	0	0	0	0	0	0	0		//	랜덤보상
	9	15	3	20060529	1630	20060628	2400	0	0	1	100	6576	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3004	0	0	0	3004	0	0	0	0	0	0	0	0	0	0		//	랜덤보상
	10	15	3	20060529	1630	20060628	2400	0	0	1	100	6577	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3005	0	0	0	3005	0	0	0	0	0	0	0	0	0	0		//	랜덤보상
	11	15	2	20060718	1200	20060830	2400	0	5	1	100	6627	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		//	아아템등록
	12	15	3	20060822	1200	20061216	2400	0	1	1	100	6628	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3006	0	0	0	3006	0	0	0	0	0	0	0	0	0	0		//	미션3종 업데이트 기념
	13	15	3	20060822	1200	20061216	2400	0	1	1	100	6629	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3007	0	0	0	3007	0	0	0	0	0	0	0	0	0	0		//	랜덤보상
